episode,block,version,first_version_in_block,block_started_utc,policy,final_status,report_flag,decision_rule,attempts_consumed,consumed_attempt_ids,research_only_attempt_ids,prefix_categories,indicator,indicator_value,prefix_elapsed_s,indeterminate_reason
etcd5509,6,V_ok,V_ok,2026-09-22T21:30:28.358196Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq31:831418877869,a2:seq32:33d4d3ce0b8c a3:seq33:a68cbebc886c,PASS,N,0,0.671,
etcd5509,6,V_ok,V_ok,2026-09-22T21:30:28.358196Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq31:831418877869,a2:seq32:33d4d3ce0b8c a3:seq33:a68cbebc886c,PASS,N,0,0.671,
etcd5509,6,V_ok,V_ok,2026-09-22T21:30:28.358196Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq31:831418877869,a2:seq32:33d4d3ce0b8c a3:seq33:a68cbebc886c,PASS,N,0,0.671,
etcd5509,7,V_bad,V_ok,2026-09-22T21:32:00.690789Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq40:12ed37a3bc33,a2:seq41:d7c5f17f8023 a3:seq42:c0392e602b48,PASS,S,0,0.659,
etcd5509,7,V_bad,V_ok,2026-09-22T21:32:00.690789Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq40:12ed37a3bc33,a2:seq41:d7c5f17f8023 a3:seq42:c0392e602b48,PASS,S,0,0.659,
etcd5509,7,V_bad,V_ok,2026-09-22T21:32:00.690789Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq40:12ed37a3bc33,a2:seq41:d7c5f17f8023 a3:seq42:c0392e602b48,PASS,S,0,0.659,
etcd5509,7,V_ok,V_ok,2026-09-22T21:31:58.659366Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq37:953a4bd64ba7,a2:seq38:ee76ff2614fb a3:seq39:6a07024df6b6,PASS,N,0,0.665,
etcd5509,7,V_ok,V_ok,2026-09-22T21:31:58.659366Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq37:953a4bd64ba7,a2:seq38:ee76ff2614fb a3:seq39:6a07024df6b6,PASS,N,0,0.665,
etcd5509,7,V_ok,V_ok,2026-09-22T21:31:58.659366Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq37:953a4bd64ba7,a2:seq38:ee76ff2614fb a3:seq39:6a07024df6b6,PASS,N,0,0.665,
etcd5509,8,V_bad,V_bad,2026-09-22T21:33:29.061749Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq43:746822ea45d7,a2:seq44:5447593975fa a3:seq45:55473a04bb8e,PASS,S,0,0.551,
etcd5509,8,V_bad,V_bad,2026-09-22T21:33:29.061749Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq43:746822ea45d7,a2:seq44:5447593975fa a3:seq45:55473a04bb8e,PASS,S,0,0.551,
etcd5509,8,V_bad,V_bad,2026-09-22T21:33:29.061749Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq43:746822ea45d7,a2:seq44:5447593975fa a3:seq45:55473a04bb8e,PASS,S,0,0.551,
etcd5509,8,V_ok,V_bad,2026-09-22T21:34:56.643802Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq46:9a691dedc2c5,a2:seq47:3d34165d5a75 a3:seq48:4747ab9c909f,PASS,N,0,0.723,
etcd5509,8,V_ok,V_bad,2026-09-22T21:34:56.643802Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq46:9a691dedc2c5,a2:seq47:3d34165d5a75 a3:seq48:4747ab9c909f,PASS,N,0,0.723,
etcd5509,8,V_ok,V_bad,2026-09-22T21:34:56.643802Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq46:9a691dedc2c5,a2:seq47:3d34165d5a75 a3:seq48:4747ab9c909f,PASS,N,0,0.723,
etcd5509,9,V_bad,V_ok,2026-09-22T21:35:01.729698Z,P1,BLOCK,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq52:581affb6a934,a2:seq53:a00a2fef75e8 a3:seq54:90b073c0d338,FOCAL_DEFECT_WITNESS,S,1,43.517,
etcd5509,9,V_bad,V_ok,2026-09-22T21:35:01.729698Z,P3,BLOCK,,P3: stop at first zero and accept; block after 3 nonzero,3,a1:seq52:581affb6a934 a2:seq53:a00a2fef75e8 a3:seq54:90b073c0d338,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,S,1,130.5,
etcd5509,9,V_bad,V_ok,2026-09-22T21:35:01.729698Z,P3-retain,BLOCK,,P3-retain: P3's prefix and decision; accept after a failure is flagged,3,a1:seq52:581affb6a934 a2:seq53:a00a2fef75e8 a3:seq54:90b073c0d338,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,S,1,130.5,
