subject,block,batch,matched_block_id,profile,variant,policy,final_status,warning,decision_rule,attempts_consumed,consumed_attempt_ids,research_only_attempt_ids,prefix_categories,S,E,M,N,prefix_elapsed_s,prefix_capacity_vcpu_h,indeterminate_reason
etcd5509,6,B,c1v1-etcd5509-b06,L,V_ok,P1,ACCEPT,,first attempt only,1,c1v1-measured-etcd5509-b06-L-ok-a1,c1v1-measured-etcd5509-b06-L-ok-a2 c1v1-measured-etcd5509-b06-L-ok-a3,PASS,,,,0,0.552,0.001725,
etcd5509,6,B,c1v1-etcd5509-b06,L,V_bad,P3,BLOCK,,"accept on first zero, block after 3 nonzero",3,c1v1-measured-etcd5509-b06-L-bad-a1 c1v1-measured-etcd5509-b06-L-bad-a2 c1v1-measured-etcd5509-b06-L-bad-a3,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,1,1,0,,133.466,0.078512,
etcd5509,6,B,c1v1-etcd5509-b06,L,V_ok,P3,ACCEPT,,"accept on first zero, block after 3 nonzero",1,c1v1-measured-etcd5509-b06-L-ok-a1,c1v1-measured-etcd5509-b06-L-ok-a2 c1v1-measured-etcd5509-b06-L-ok-a3,PASS,,,,0,0.552,0.001725,
etcd5509,6,B,c1v1-etcd5509-b06,L,V_bad,P3-retain,BLOCK,,P3 decision; flag accept after failure,3,c1v1-measured-etcd5509-b06-L-bad-a1 c1v1-measured-etcd5509-b06-L-bad-a2 c1v1-measured-etcd5509-b06-L-bad-a3,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,1,1,0,,133.466,0.078512,
etcd5509,6,B,c1v1-etcd5509-b06,L,V_ok,P3-retain,ACCEPT,,P3 decision; flag accept after failure,1,c1v1-measured-etcd5509-b06-L-ok-a1,c1v1-measured-etcd5509-b06-L-ok-a2 c1v1-measured-etcd5509-b06-L-ok-a3,PASS,,,,0,0.552,0.001725,
etcd5509,7,B,c1v1-etcd5509-b07,R,V_bad,P1,BLOCK,,first attempt only,1,c1v1-measured-etcd5509-b07-R-bad-a1,c1v1-measured-etcd5509-b07-R-bad-a2 c1v1-measured-etcd5509-b07-R-bad-a3,FOCAL_DEFECT_WITNESS,1,1,0,,45.285,0.212908,
etcd5509,7,B,c1v1-etcd5509-b07,R,V_ok,P1,ACCEPT,,first attempt only,1,c1v1-measured-etcd5509-b07-R-ok-a1,c1v1-measured-etcd5509-b07-R-ok-a2 c1v1-measured-etcd5509-b07-R-ok-a3,PASS,,,,0,0.575,0.013874,
etcd5509,7,B,c1v1-etcd5509-b07,R,V_bad,P3,ACCEPT,,"accept on first zero, block after 3 nonzero",2,c1v1-measured-etcd5509-b07-R-bad-a1 c1v1-measured-etcd5509-b07-R-bad-a2,c1v1-measured-etcd5509-b07-R-bad-a3,FOCAL_DEFECT_WITNESS | PASS,0,1,1,,45.794,0.226785,
etcd5509,7,B,c1v1-etcd5509-b07,R,V_ok,P3,ACCEPT,,"accept on first zero, block after 3 nonzero",1,c1v1-measured-etcd5509-b07-R-ok-a1,c1v1-measured-etcd5509-b07-R-ok-a2 c1v1-measured-etcd5509-b07-R-ok-a3,PASS,,,,0,0.575,0.013874,
etcd5509,7,B,c1v1-etcd5509-b07,R,V_bad,P3-retain,ACCEPT,ACCEPT_WITH_PRIOR_FAILURE,P3 decision; flag accept after failure,2,c1v1-measured-etcd5509-b07-R-bad-a1 c1v1-measured-etcd5509-b07-R-bad-a2,c1v1-measured-etcd5509-b07-R-bad-a3,FOCAL_DEFECT_WITNESS | PASS,0,1,1,,45.794,0.226785,
etcd5509,7,B,c1v1-etcd5509-b07,R,V_ok,P3-retain,ACCEPT,,P3 decision; flag accept after failure,1,c1v1-measured-etcd5509-b07-R-ok-a1,c1v1-measured-etcd5509-b07-R-ok-a2 c1v1-measured-etcd5509-b07-R-ok-a3,PASS,,,,0,0.575,0.013874,
etcd5509,7,B,c1v1-etcd5509-b07,L,V_bad,P1,BLOCK,,first attempt only,1,c1v1-measured-etcd5509-b07-L-bad-a1,c1v1-measured-etcd5509-b07-L-bad-a2 c1v1-measured-etcd5509-b07-L-bad-a3,FOCAL_DEFECT_WITNESS,1,1,0,,45.277,0.026607,
etcd5509,7,B,c1v1-etcd5509-b07,L,V_ok,P1,ACCEPT,,first attempt only,1,c1v1-measured-etcd5509-b07-L-ok-a1,c1v1-measured-etcd5509-b07-L-ok-a2 c1v1-measured-etcd5509-b07-L-ok-a3,PASS,,,,0,0.503,0.00174,
