cycle,partition,k,apfd_hist,apfd_t0,diff
480,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.980392,0.970588,-0.009804
480,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest",2,0.980392,0.980392,0.000000
480,org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest,3,0.970588,0.970588,0.000000
484,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",1,0.578431,0.578431,0.000000
484,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.568627,0.568627,0.000000
484,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.568627,0.568627,0.000000
484,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest",2,0.431373,0.558824,0.127451
484,org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest,3,0.473856,0.558824,0.084967
485,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",1,0.990196,0.990196,0.000000
485,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.764706,0.970588,0.205882
485,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.980392,0.980392,0.000000
485,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest",2,0.980392,0.980392,0.000000
485,org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest,3,0.833333,0.970588,0.137255
487,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",1,0.990196,0.990196,0.000000
487,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.970588,0.970588,0.000000
487,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.980392,0.980392,0.000000
487,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest",2,0.980392,0.980392,0.000000
487,org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest,3,0.970588,0.970588,0.000000
